SubjID,Cond_code,Seq,FB,All_Items,Correct,Incorr,Remain,ElapTime,psgpH,psgpM,psgpL,EAPsgp,MAPsgp,pargH,pargM,pargL,EAParg,MAParg,pcrH,pcrM,pcrL,EAPcr,MAPcr,pdtH,pdtM,pdtL,EAPdt,MAPdt,pexaH,pexaM,pexaL,EAPexa,MAPexa,pexpH,pexpM,pexpL,EAPexp,MAPexp,pextH,pextM,pextL,EAPext,MAPext,pindH,pindM,pindL,EAPind,MAPind,pmodH,pmodM,pmodL,EAPmod,MAPmod,precH,precM,precL,EAPrec,MAPrec,ptabH,ptabM,ptabL,EAPtab,MAPtab,pverH,pverM,pverL,EAPver,MAPver,ppicH,ppicM,ppicL,EAPpic,MAPpic
S218,2,2,1,63,33,30,0,0.01754629630,0.114,0.837,0.050,0.936,2,0.004,0.059,0.938,1.934,1,0.96,0.036,0,0.04,3,0.223,0.308,0.469,1.246,1,0.776,0.209,0.015,0.239,3,0.000,0.006,0.99,1.994,1,0.67,0.31,0,0.34,3,0.010,0.156,0.834,1.82,1,0.016,0.213,0.771,1.755,1,0.814,0.181,0.005,0.190,3,0.270,0.502,0.228,0.958,2,0.005,0.090,0.905,1.901,1,0.059,0.39,0.551,1.492,1
S219,3,1,1,63,25,38,0,0.01585648148,0.049,0.773,0.179,1.130,2,0.010,0.091,0.899,1.889,1,0.74,0.233,0,0.29,3,0.202,0.296,0.503,1.301,1,0.001,0.058,0.941,1.940,1,0.000,0.012,0.99,1.988,1,0.86,0.14,0,0.14,3,0.077,0.299,0.624,1.55,1,0.129,0.426,0.446,1.317,1,0.386,0.521,0.094,0.708,2,0.007,0.154,0.839,1.833,1,0.106,0.345,0.549,1.442,1,0.001,0.06,0.944,1.944,1
S220,1,2,2,63,30,33,0,0.02230324074,0.580,0.416,0.005,0.425,3,0.007,0.079,0.914,1.907,1,0.99,0.012,0,0.01,3,0.270,0.324,0.405,1.135,1,0.503,0.406,0.091,0.587,3,0.000,0.010,0.99,1.990,1,0.90,0.10,0,0.10,3,0.100,0.380,0.520,1.42,1,0.003,0.113,0.883,1.880,1,0.173,0.564,0.263,1.089,2,0.059,0.374,0.567,1.507,1,0.094,0.348,0.558,1.464,1,0.317,0.49,0.195,0.878,2
S221,2,2,1,63,26,37,0,0.02547453704,0.026,0.605,0.369,1.343,2,0.001,0.021,0.978,1.977,1,0.61,0.333,0,0.44,3,0.176,0.279,0.544,1.368,1,0.018,0.218,0.763,1.745,1,0.001,0.039,0.96,1.960,1,0.76,0.23,0,0.24,3,0.042,0.267,0.690,1.65,1,0.036,0.257,0.707,1.671,1,0.010,0.233,0.756,1.746,1,0.130,0.459,0.410,1.280,2,0.084,0.359,0.558,1.474,1,0.007,0.16,0.835,1.828,1
S222,3,1,1,63,14,47,0,0.01725694444,0.000,0.000,1.000,2.000,1,0.000,0.006,0.993,1.993,1,0.21,0.656,0,0.93,2,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.003,1.00,1.997,1,0.17,0.78,0,0.88,2,0.000,0.021,0.979,1.98,1,0.000,0.016,0.984,1.984,1,0.138,0.580,0.282,1.144,2,0.004,0.104,0.892,1.888,1,0.001,0.049,0.951,1.950,1,0.000,0.04,0.961,1.961,1
S223,1,2,2,63,14,49,0,0.01796296296,0.000,0.010,0.990,1.990,1,0.000,0.002,0.998,1.998,1,0.02,0.403,1,1.55,1,0.098,0.228,0.674,1.575,1,0.000,0.010,0.990,1.990,1,0.000,0.017,0.98,1.983,1,0.04,0.76,0,1.16,2,0.002,0.050,0.948,1.95,1,0.000,0.016,0.984,1.984,1,0.001,0.102,0.897,1.896,1,0.008,0.150,0.842,1.834,1,0.007,0.161,0.832,1.825,1,0.001,0.06,0.944,1.944,1
S228,1,2,2,63,18,45,0,0.02607638889,0.000,0.123,0.877,1.877,1,0.000,0.002,0.998,1.998,1,0.29,0.594,0,0.84,2,0.112,0.237,0.650,1.538,1,0.000,0.016,0.984,1.984,1,0.000,0.003,1.00,1.997,1,0.68,0.32,0,0.33,3,0.001,0.041,0.958,1.96,1,0.000,0.011,0.989,1.989,1,0.001,0.101,0.897,1.896,1,0.002,0.072,0.926,1.924,1,0.002,0.083,0.915,1.913,1,0.042,0.32,0.636,1.594,1
S229,2,2,1,63,24,39,0,0.03075231481,0.000,0.051,0.948,1.948,1,0.001,0.015,0.984,1.984,1,0.04,0.406,1,1.52,1,0.104,0.231,0.665,1.561,1,0.000,0.012,0.988,1.988,1,0.000,0.003,1.00,1.997,1,0.97,0.03,0,0.03,3,0.007,0.088,0.905,1.90,1,0.038,0.230,0.732,1.694,1,0.142,0.578,0.280,1.138,2,0.088,0.425,0.488,1.400,1,0.021,0.241,0.738,1.717,1,0.003,0.10,0.896,1.893,1
S230,3,1,1,63,41,22,0,0.03017361111,0.888,0.112,0.000,0.112,3,0.206,0.433,0.361,1.156,2,1.00,0.001,0,0.00,3,0.298,0.333,0.369,1.070,1,0.918,0.080,0.002,0.083,3,0.034,0.280,0.69,1.652,1,1.00,0.00,0,0.00,3,0.679,0.267,0.054,0.38,3,0.717,0.262,0.020,0.303,3,0.811,0.179,0.010,0.199,3,0.024,0.265,0.711,1.687,1,0.703,0.251,0.046,0.344,3,0.029,0.30,0.668,1.640,1
S231,1,2,2,63,37,25,1,0.02644675926,0.469,0.525,0.006,0.537,2,0.270,0.321,0.410,1.140,1,0.94,0.061,0,0.07,3,0.260,0.321,0.419,1.159,1,0.005,0.129,0.867,1.862,1,0.193,0.388,0.42,1.226,1,0.99,0.01,0,0.01,3,0.351,0.366,0.283,0.93,2,0.372,0.459,0.169,0.796,2,0.906,0.091,0.002,0.096,3,0.413,0.455,0.133,0.720,2,0.260,0.394,0.346,1.087,2,0.047,0.34,0.613,1.566,1
S232,2,2,1,63,21,42,0,0.02247685185,0.032,0.711,0.256,1.224,2,0.000,0.005,0.995,1.995,1,0.69,0.275,0,0.35,3,0.191,0.289,0.521,1.330,1,0.001,0.052,0.948,1.947,1,0.000,0.002,1.00,1.998,1,0.58,0.41,0,0.44,3,0.010,0.164,0.827,1.82,1,0.235,0.437,0.328,1.092,2,0.001,0.102,0.896,1.895,1,0.650,0.312,0.038,0.388,3,0.016,0.188,0.796,1.781,1,0.001,0.06,0.939,1.938,1
S233,3,1,1,63,45,18,0,0.02596064815,0.976,0.024,0.000,0.024,3,0.093,0.402,0.505,1.411,1,1.00,0.000,0,0.00,3,0.306,0.335,0.358,1.052,1,0.839,0.155,0.006,0.166,3,0.002,0.079,0.92,1.916,1,1.00,0.00,0,0.00,3,0.558,0.350,0.092,0.53,3,0.431,0.467,0.101,0.670,2,0.758,0.228,0.014,0.256,3,0.392,0.469,0.139,0.747,2,0.569,0.334,0.097,0.528,3,0.138,0.50,0.365,1.227,2
S234,1,2,2,63,14,49,0,0.01731481481,0.000,0.002,0.998,1.998,1,0.000,0.002,0.998,1.998,1,0.02,0.402,1,1.56,1,0.098,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.003,1.00,1.997,1,0.08,0.77,0,1.07,2,0.000,0.026,0.974,1.97,1,0.000,0.026,0.974,1.974,1,0.008,0.227,0.765,1.757,1,0.358,0.476,0.167,0.809,2,0.001,0.072,0.927,1.925,1,0.000,0.02,0.982,1.982,1
S235,2,2,1,63,30,33,0,0.02157407407,0.018,0.806,0.175,1.157,2,0.008,0.074,0.918,1.910,1,0.97,0.034,0,0.03,3,0.199,0.295,0.506,1.306,1,0.001,0.054,0.946,1.945,1,0.009,0.118,0.87,1.865,1,0.98,0.02,0,0.02,3,0.158,0.448,0.394,1.24,2,0.004,0.116,0.880,1.875,1,0.020,0.250,0.730,1.710,1,0.004,0.132,0.864,1.860,1,0.314,0.448,0.239,0.925,2,0.402,0.48,0.123,0.720,2
S236,3,1,1,63,16,47,0,0.02268518519,0.000,0.003,0.997,1.997,1,0.125,0.186,0.689,1.565,1,0.07,0.599,0,1.25,2,0.098,0.227,0.675,1.577,1,0.000,0.010,0.990,1.990,1,0.232,0.357,0.41,1.179,1,0.00,0.03,1,1.97,1,0.093,0.214,0.693,1.60,1,0.001,0.035,0.965,1.964,1,0.500,0.427,0.073,0.573,3,0.001,0.049,0.950,1.950,1,0.115,0.340,0.545,1.430,1,0.001,0.07,0.933,1.933,1
S237,1,2,2,63,26,23,14,0.00000036169,0.006,0.307,0.688,1.682,1,0.012,0.066,0.922,1.911,1,0.26,0.507,0,0.98,2,0.136,0.253,0.611,1.475,1,0.009,0.138,0.853,1.844,1,0.004,0.038,0.96,1.955,1,0.99,0.01,0,0.01,3,0.050,0.204,0.747,1.70,1,0.194,0.374,0.433,1.239,1,0.354,0.492,0.154,0.800,2,0.405,0.461,0.134,0.729,2,0.089,0.353,0.558,1.470,1,0.108,0.43,0.458,1.350,1
S238,2,2,1,63,33,30,0,0.02259259259,0.010,0.625,0.365,1.355,2,0.076,0.174,0.750,1.675,1,0.94,0.060,0,0.06,3,0.175,0.279,0.545,1.370,1,0.415,0.418,0.166,0.751,2,0.032,0.190,0.78,1.746,1,0.79,0.21,0,0.21,3,0.176,0.319,0.505,1.33,1,0.012,0.165,0.823,1.811,1,0.464,0.458,0.079,0.615,3,0.001,0.064,0.934,1.933,1,0.234,0.399,0.367,1.133,2,0.050,0.37,0.582,1.532,1
S239,3,1,1,63,38,25,0,0.02979166667,0.751,0.248,0.000,0.249,3,0.012,0.145,0.844,1.832,1,0.99,0.006,0,0.01,3,0.286,0.329,0.385,1.099,1,0.896,0.101,0.003,0.107,3,0.024,0.189,0.79,1.763,1,0.99,0.01,0,0.01,3,0.428,0.447,0.126,0.70,2,0.494,0.417,0.089,0.595,3,0.009,0.141,0.850,1.841,1,0.595,0.350,0.055,0.460,3,0.554,0.355,0.091,0.537,3,0.013,0.21,0.772,1.759,1
S240,1,2,2,63,22,41,0,0.02709490741,0.000,0.005,0.995,1.995,1,0.002,0.023,0.975,1.973,1,0.68,0.310,0,0.33,3,0.098,0.228,0.675,1.577,1,0.009,0.151,0.840,1.831,1,0.001,0.040,0.96,1.958,1,0.05,0.76,0,1.14,2,0.024,0.181,0.795,1.77,1,0.026,0.191,0.784,1.758,1,0.044,0.424,0.531,1.487,1,0.037,0.290,0.674,1.637,1,0.100,0.444,0.456,1.357,1,0.001,0.07,0.928,1.927,1
S241,2,2,1,63,34,29,0,0.02281250000,0.050,0.843,0.107,1.057,2,0.000,0.009,0.991,1.991,1,0.99,0.010,0,0.01,3,0.210,0.301,0.488,1.278,1,0.523,0.395,0.082,0.559,3,0.000,0.007,0.99,1.993,1,0.99,0.01,0,0.01,3,0.021,0.235,0.744,1.72,1,0.058,0.348,0.593,1.535,1,0.002,0.103,0.895,1.894,1,0.199,0.515,0.287,1.088,2,0.035,0.257,0.708,1.673,1,0.205,0.53,0.270,1.065,2
S242,3,1,1,63,32,31,0,0.02806712963,0.160,0.785,0.054,0.894,2,0.027,0.126,0.847,1.820,1,0.84,0.153,0,0.18,3,0.227,0.309,0.464,1.238,1,0.002,0.081,0.917,1.915,1,0.085,0.312,0.60,1.519,1,0.99,0.01,0,0.01,3,0.138,0.378,0.484,1.35,1,0.390,0.447,0.163,0.773,2,0.037,0.267,0.695,1.658,1,0.093,0.426,0.481,1.388,1,0.178,0.398,0.424,1.247,1,0.145,0.49,0.363,1.218,2
S243,1,2,2,63,24,39,0,0.02601851852,0.002,0.405,0.593,1.591,1,0.000,0.004,0.996,1.996,1,0.80,0.194,0,0.21,3,0.147,0.260,0.592,1.445,1,0.010,0.160,0.830,1.820,1,0.000,0.003,1.00,1.997,1,0.73,0.27,0,0.27,3,0.003,0.079,0.918,1.92,1,0.002,0.067,0.931,1.929,1,0.008,0.228,0.764,1.756,1,0.224,0.490,0.286,1.061,2,0.004,0.103,0.893,1.889,1,0.000,0.04,0.961,1.960,1
S249,1,2,2,63,15,48,0,0.02368055556,0.000,0.000,1.000,2.000,1,0.001,0.016,0.983,1.983,1,0.07,0.599,0,1.26,2,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.001,0.033,0.97,1.966,1,0.14,0.80,0,0.93,2,0.028,0.221,0.750,1.72,1,0.001,0.043,0.956,1.955,1,0.010,0.232,0.759,1.749,1,0.001,0.045,0.955,1.954,1,0.140,0.495,0.365,1.225,2,0.009,0.19,0.803,1.794,1
S250,2,2,1,63,26,37,0,0.02030092593,0.007,0.636,0.357,1.350,2,0.002,0.020,0.978,1.976,1,0.87,0.127,0,0.13,3,0.176,0.280,0.544,1.368,1,0.000,0.043,0.957,1.956,1,0.002,0.051,0.95,1.946,1,0.74,0.26,0,0.27,3,0.014,0.167,0.819,1.80,1,0.053,0.306,0.642,1.589,1,0.044,0.424,0.532,1.489,1,0.041,0.324,0.635,1.594,1,0.022,0.211,0.767,1.745,1,0.001,0.05,0.949,1.949,1
S251,3,1,1,63,26,37,0,0.01569444444,0.000,0.189,0.810,1.810,1,0.035,0.096,0.868,1.833,1,0.53,0.436,0,0.50,3,0.120,0.243,0.637,1.516,1,0.000,0.019,0.981,1.980,1,0.101,0.321,0.58,1.477,1,0.20,0.72,0,0.89,2,0.066,0.205,0.730,1.66,1,0.162,0.365,0.473,1.310,1,0.090,0.425,0.484,1.394,1,0.276,0.483,0.241,0.964,2,0.110,0.376,0.514,1.405,1,0.001,0.07,0.929,1.928,1
S252,1,2,2,63,7,56,0,0.01314814815,0.000,0.000,1.000,2.000,1,0.000,0.002,0.998,1.998,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.008,0.99,1.991,1,0.00,0.11,1,1.90,1,0.000,0.020,0.980,1.98,1,0.000,0.009,0.991,1.991,1,0.008,0.227,0.765,1.757,1,0.025,0.268,0.707,1.682,1,0.001,0.050,0.950,1.949,1,0.000,0.04,0.964,1.964,1
S253,2,2,1,63,20,43,0,0.03076388889,0.000,0.006,0.994,1.994,1,0.000,0.005,0.995,1.994,1,0.08,0.598,0,1.25,2,0.098,0.228,0.674,1.576,1,0.000,0.010,0.990,1.990,1,0.000,0.008,0.99,1.992,1,0.79,0.21,0,0.21,3,0.002,0.047,0.951,1.95,1,0.001,0.046,0.953,1.951,1,0.039,0.422,0.539,1.500,1,0.034,0.285,0.680,1.646,1,0.006,0.149,0.845,1.840,1,0.004,0.12,0.877,1.873,1
S254,3,1,1,63,46,17,0,0.03111111111,0.985,0.015,0.000,0.015,3,0.065,0.220,0.715,1.651,1,1.00,0.000,0,0.00,3,0.307,0.336,0.357,1.050,1,0.934,0.065,0.001,0.067,3,0.014,0.145,0.84,1.827,1,1.00,0.00,0,0.00,3,0.367,0.446,0.186,0.82,2,0.415,0.475,0.110,0.696,2,0.278,0.510,0.212,0.934,2,0.899,0.098,0.003,0.104,3,0.365,0.422,0.212,0.847,2,0.673,0.30,0.028,0.355,3
S255,1,2,2,63,34,29,0,0.02534722222,0.607,0.391,0.001,0.394,3,0.014,0.134,0.852,1.839,1,0.97,0.025,0,0.03,3,0.273,0.325,0.402,1.128,1,0.872,0.123,0.005,0.132,3,0.001,0.036,0.96,1.962,1,0.98,0.02,0,0.02,3,0.364,0.457,0.179,0.82,2,0.669,0.297,0.035,0.366,3,0.082,0.437,0.481,1.399,1,0.087,0.406,0.507,1.421,1,0.485,0.386,0.129,0.643,3,0.024,0.27,0.709,1.685,1
S256,2,2,1,63,13,49,0,0.02690972222,0.000,0.002,0.998,1.998,1,0.001,0.012,0.988,1.987,1,0.07,0.599,0,1.26,2,0.098,0.227,0.675,1.578,1,0.000,0.025,0.975,1.974,1,0.001,0.031,0.97,1.967,1,0.00,0.16,1,1.84,1,0.007,0.098,0.895,1.89,1,0.000,0.018,0.982,1.982,1,0.041,0.423,0.536,1.496,1,0.001,0.070,0.929,1.928,1,0.029,0.297,0.673,1.644,1,0.001,0.07,0.932,1.931,1
S257,3,1,1,63,20,43,0,0.01320601852,0.000,0.041,0.959,1.959,1,0.000,0.003,0.997,1.997,1,0.46,0.504,0,0.58,2,0.102,0.231,0.667,1.565,1,0.055,0.314,0.631,1.577,1,0.000,0.001,1.00,1.999,1,0.25,0.72,0,0.79,2,0.000,0.019,0.981,1.98,1,0.000,0.010,0.989,1.989,1,0.038,0.422,0.540,1.502,1,0.009,0.171,0.820,1.810,1,0.000,0.030,0.969,1.969,1,0.000,0.02,0.984,1.984,1
S258,1,2,2,63,24,39,0,0.01718750000,0.004,0.404,0.592,1.588,1,0.000,0.006,0.994,1.994,1,0.47,0.449,0,0.62,3,0.147,0.261,0.592,1.445,1,0.000,0.031,0.969,1.969,1,0.000,0.001,1.00,1.999,1,0.98,0.02,0,0.02,3,0.007,0.114,0.879,1.87,1,0.091,0.324,0.586,1.495,1,0.008,0.228,0.763,1.755,1,0.057,0.366,0.577,1.520,1,0.013,0.180,0.807,1.794,1,0.282,0.49,0.228,0.947,2
S259,2,2,1,63,35,27,1,0.02217592593,0.267,0.723,0.011,0.744,2,0.051,0.188,0.760,1.709,1,0.99,0.015,0,0.02,3,0.242,0.315,0.443,1.202,1,0.177,0.484,0.339,1.162,2,0.007,0.106,0.89,1.879,1,0.97,0.03,0,0.03,3,0.216,0.385,0.399,1.18,1,0.596,0.345,0.059,0.463,3,0.454,0.466,0.080,0.626,2,0.118,0.446,0.436,1.318,2,0.247,0.397,0.356,1.109,2,0.001,0.06,0.937,1.935,1
S260,3,1,1,63,29,34,0,0.02351851852,0.027,0.614,0.360,1.333,2,0.007,0.077,0.916,1.909,1,0.62,0.328,0,0.43,3,0.178,0.280,0.542,1.364,1,0.206,0.450,0.344,1.137,2,0.000,0.006,0.99,1.994,1,0.81,0.19,0,0.19,3,0.040,0.208,0.752,1.71,1,0.103,0.364,0.533,1.430,1,0.626,0.350,0.024,0.398,3,0.216,0.496,0.288,1.072,2,0.050,0.258,0.692,1.642,1,0.000,0.02,0.977,1.977,1
S261,1,2,2,63,23,40,0,0.02042824074,0.000,0.153,0.847,1.846,1,0.002,0.023,0.974,1.972,1,0.73,0.267,0,0.28,3,0.116,0.240,0.644,1.528,1,0.000,0.017,0.982,1.982,1,0.001,0.038,0.96,1.960,1,0.12,0.75,0,1.01,2,0.012,0.108,0.881,1.87,1,0.001,0.042,0.957,1.956,1,0.147,0.576,0.277,1.131,2,0.016,0.202,0.782,1.766,1,0.024,0.238,0.738,1.714,1,0.131,0.47,0.396,1.265,2
S262,2,2,1,63,18,45,0,0.01781250000,0.000,0.089,0.911,1.911,1,0.000,0.002,0.998,1.998,1,0.26,0.611,0,0.86,2,0.108,0.234,0.657,1.549,1,0.000,0.014,0.986,1.986,1,0.000,0.003,1.00,1.997,1,0.48,0.51,0,0.53,2,0.000,0.025,0.974,1.97,1,0.000,0.007,0.993,1.993,1,0.008,0.227,0.765,1.757,1,0.002,0.088,0.910,1.908,1,0.000,0.041,0.958,1.958,1,0.048,0.35,0.603,1.555,1
S263,3,1,1,63,28,35,0,0.02783564815,0.008,0.497,0.495,1.488,2,0.008,0.067,0.924,1.916,1,0.53,0.399,0,0.54,3,0.159,0.269,0.572,1.413,1,0.000,0.036,0.963,1.963,1,0.001,0.035,0.96,1.963,1,0.65,0.35,0,0.36,3,0.020,0.142,0.838,1.82,1,0.011,0.147,0.843,1.832,1,0.817,0.178,0.005,0.188,3,0.391,0.464,0.145,0.754,2,0.020,0.170,0.811,1.791,1,0.000,0.02,0.977,1.977,1
S269,1,2,2,63,16,22,25,0.00000036169,0.004,0.329,0.667,1.663,1,0.004,0.026,0.970,1.966,1,0.42,0.487,0,0.67,2,0.138,0.255,0.607,1.469,1,0.022,0.140,0.838,1.816,1,0.002,0.022,0.98,1.974,1,0.62,0.38,0,0.39,3,0.017,0.121,0.863,1.85,1,0.000,0.014,0.986,1.985,1,0.198,0.430,0.372,1.174,2,0.047,0.323,0.631,1.584,1,0.027,0.191,0.782,1.755,1,0.001,0.04,0.958,1.957,1
S270,2,2,1,63,12,22,29,0.00000036169,0.002,0.164,0.834,1.832,1,0.007,0.036,0.957,1.950,1,0.17,0.550,0,1.11,2,0.118,0.241,0.641,1.524,1,0.013,0.102,0.886,1.873,1,0.004,0.038,0.96,1.953,1,0.80,0.19,0,0.20,3,0.028,0.147,0.825,1.80,1,0.002,0.053,0.946,1.944,1,0.205,0.427,0.368,1.162,2,0.049,0.297,0.654,1.605,1,0.055,0.309,0.636,1.580,1,0.015,0.17,0.817,1.802,1
S271,3,1,1,63,11,29,23,0.02983796296,0.000,0.023,0.976,1.976,1,0.000,0.006,0.993,1.993,1,0.09,0.593,0,1.24,2,0.100,0.229,0.671,1.570,1,0.000,0.011,0.989,1.989,1,0.000,0.011,0.99,1.988,1,0.24,0.66,0,0.86,2,0.004,0.052,0.944,1.94,1,0.001,0.027,0.972,1.972,1,0.039,0.422,0.539,1.500,1,0.069,0.243,0.687,1.618,1,0.012,0.138,0.850,1.837,1,0.046,0.22,0.738,1.692,1
S272,1,2,2,63,8,22,33,0.00000036169,0.000,0.012,0.988,1.988,1,0.002,0.016,0.982,1.980,1,0.39,0.548,0,0.67,2,0.099,0.228,0.673,1.574,1,0.004,0.066,0.930,1.925,1,0.004,0.038,0.96,1.955,1,0.01,0.40,1,1.59,1,0.003,0.048,0.948,1.95,1,0.000,0.018,0.982,1.981,1,0.191,0.432,0.377,1.185,2,0.001,0.045,0.955,1.954,1,0.008,0.130,0.862,1.854,1,0.003,0.09,0.904,1.901,1
S273,2,2,1,63,7,56,0,0.02740740741,0.000,0.000,1.000,2.000,1,0.000,0.004,0.996,1.996,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.007,0.99,1.993,1,0.00,0.19,1,1.81,1,0.003,0.064,0.933,1.93,1,0.000,0.011,0.989,1.989,1,0.008,0.228,0.764,1.756,1,0.001,0.069,0.930,1.929,1,0.012,0.210,0.778,1.766,1,0.000,0.03,0.966,1.966,1
S274,3,1,1,63,10,53,0,0.01556712963,0.000,0.000,1.000,2.000,1,0.000,0.012,0.988,1.988,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.025,0.975,1.975,1,0.000,0.007,0.99,1.993,1,0.00,0.17,1,1.83,1,0.011,0.123,0.866,1.86,1,0.004,0.083,0.913,1.909,1,0.040,0.423,0.537,1.496,1,0.010,0.176,0.814,1.804,1,0.048,0.357,0.595,1.548,1,0.000,0.03,0.967,1.967,1
S275,1,2,2,63,2,36,25,0.00000036169,0.000,0.000,1.000,2.000,1,0.000,0.009,0.990,1.990,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.032,0.968,1.967,1,0.001,0.017,0.98,1.981,1,0.00,0.06,1,1.94,1,0.001,0.027,0.972,1.97,1,0.000,0.014,0.986,1.986,1,0.187,0.434,0.379,1.192,2,0.001,0.064,0.935,1.933,1,0.002,0.070,0.928,1.926,1,0.000,0.04,0.960,1.960,1
S276,2,2,1,63,5,24,34,0.00000036169,0.000,0.000,1.000,2.000,1,0.000,0.009,0.991,1.990,1,0.26,0.570,0,0.91,2,0.097,0.227,0.675,1.578,1,0.004,0.064,0.933,1.929,1,0.001,0.017,0.98,1.982,1,0.02,0.50,0,1.47,2,0.001,0.024,0.976,1.98,1,0.000,0.012,0.988,1.988,1,0.187,0.434,0.379,1.193,2,0.324,0.459,0.218,0.894,2,0.001,0.056,0.943,1.942,1,0.000,0.03,0.968,1.968,1
S277,3,1,1,63,13,50,0,0.02765046296,0.000,0.000,1.000,2.000,1,0.001,0.018,0.981,1.980,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.025,0.975,1.975,1,0.000,0.026,0.97,1.974,1,0.00,0.21,1,1.79,1,0.002,0.039,0.959,1.96,1,0.000,0.014,0.986,1.986,1,0.348,0.550,0.101,0.753,2,0.022,0.250,0.728,1.705,1,0.004,0.107,0.890,1.886,1,0.000,0.03,0.967,1.966,1
S278,1,2,2,63,9,54,0,0.01947916667,0.000,0.000,1.000,2.000,1,0.000,0.009,0.990,1.990,1,0.07,0.599,0,1.26,2,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.006,0.99,1.994,1,0.00,0.07,1,1.93,1,0.007,0.099,0.894,1.89,1,0.001,0.042,0.957,1.956,1,0.040,0.423,0.537,1.498,1,0.001,0.047,0.952,1.951,1,0.030,0.304,0.666,1.636,1,0.001,0.07,0.929,1.928,1
