SubjID,Cond_code,Seq,FB,All_Items,Correct,Incorr,Remain,ElapTime,psgpH,psgpM,psgpL,EAPsgp,MAPsgp,pargH,pargM,pargL,EAParg,MAParg,pcrH,pcrM,pcrL,EAPcr,MAPcr,pdtH,pdtM,pdtL,EAPdt,MAPdt,pexaH,pexaM,pexaL,EAPexa,MAPexa,pexpH,pexpM,pexpL,EAPexp,MAPexp,pextH,pextM,pextL,EAPext,MAPext,pindH,pindM,pindL,EAPind,MAPind,pmodH,pmodM,pmodL,EAPmod,MAPmod,precH,precM,precL,EAPrec,MAPrec,ptabH,ptabM,ptabL,EAPtab,MAPtab,pverH,pverM,pverL,EAPver,MAPver,ppicH,ppicM,ppicL,EAPpic,MAPpic
S279,2,2,1,63,3,17,43,0.03109953704,0.000,0.001,0.999,1.999,1,0.001,0.012,0.987,1.986,1,0.57,0.379,0,0.49,3,0.097,0.227,0.675,1.578,1,0.009,0.089,0.902,1.893,1,0.003,0.033,0.96,1.961,1,0.05,0.58,0,1.32,2,0.001,0.031,0.968,1.97,1,0.000,0.020,0.980,1.980,1,0.189,0.433,0.378,1.189,2,0.012,0.124,0.863,1.851,1,0.003,0.080,0.918,1.915,1,0.024,0.27,0.707,1.683,1
S280,3,1,1,63,9,41,13,0.02895833333,0.000,0.001,0.999,1.999,1,0.000,0.005,0.995,1.995,1,0.07,0.599,0,1.26,2,0.097,0.227,0.675,1.578,1,0.000,0.025,0.975,1.974,1,0.000,0.003,1.00,1.997,1,0.02,0.52,0,1.44,2,0.006,0.079,0.915,1.91,1,0.002,0.049,0.949,1.947,1,0.008,0.228,0.764,1.756,1,0.037,0.286,0.677,1.640,1,0.027,0.227,0.745,1.718,1,0.040,0.21,0.749,1.708,1
S281,1,2,2,63,9,30,23,0.00000036169,0.000,0.004,0.996,1.996,1,0.002,0.017,0.981,1.979,1,0.08,0.598,0,1.25,2,0.098,0.228,0.675,1.577,1,0.003,0.052,0.946,1.943,1,0.001,0.019,0.98,1.978,1,0.01,0.44,1,1.56,1,0.007,0.077,0.916,1.91,1,0.000,0.015,0.985,1.984,1,0.192,0.432,0.376,1.184,2,0.001,0.066,0.933,1.931,1,0.021,0.224,0.755,1.734,1,0.010,0.19,0.801,1.790,1
S282,2,2,1,63,7,23,33,0.00000036169,0.000,0.054,0.946,1.946,1,0.003,0.022,0.975,1.972,1,0.45,0.484,0,0.62,2,0.104,0.232,0.665,1.561,1,0.006,0.076,0.918,1.911,1,0.001,0.020,0.98,1.977,1,0.01,0.40,1,1.58,1,0.013,0.099,0.888,1.88,1,0.001,0.025,0.975,1.974,1,0.195,0.431,0.374,1.179,2,0.001,0.055,0.943,1.942,1,0.034,0.248,0.717,1.683,1,0.000,0.04,0.962,1.962,1
S283,3,1,1,63,13,50,0,0.01608796296,0.000,0.000,1.000,2.000,1,0.002,0.021,0.978,1.976,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.022,0.98,1.977,1,0.02,0.66,0,1.31,2,0.011,0.108,0.882,1.87,1,0.000,0.028,0.972,1.971,1,0.145,0.577,0.278,1.133,2,0.002,0.071,0.927,1.925,1,0.037,0.314,0.650,1.613,1,0.000,0.02,0.978,1.978,1
S284,1,2,2,63,6,57,0,0.02456018519,0.000,0.000,1.000,2.000,1,0.000,0.001,0.999,1.999,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.008,0.99,1.992,1,0.00,0.22,1,1.78,1,0.000,0.019,0.980,1.98,1,0.000,0.004,0.996,1.996,1,0.001,0.101,0.897,1.896,1,0.001,0.067,0.932,1.930,1,0.001,0.048,0.952,1.951,1,0.000,0.03,0.966,1.966,1
S285,2,2,1,63,5,58,0,0.02229166667,0.000,0.000,1.000,2.000,1,0.000,0.003,0.997,1.997,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.008,0.99,1.992,1,0.00,0.15,1,1.85,1,0.003,0.064,0.934,1.93,1,0.000,0.027,0.973,1.973,1,0.001,0.102,0.897,1.896,1,0.001,0.045,0.954,1.954,1,0.012,0.211,0.777,1.765,1,0.000,0.03,0.966,1.965,1
S291,1,2,2,63,7,56,0,0.00943287037,0.000,0.000,1.000,2.000,1,0.000,0.006,0.994,1.994,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.001,1.00,1.999,1,0.00,0.15,1,1.85,1,0.003,0.066,0.931,1.93,1,0.000,0.027,0.973,1.973,1,0.039,0.422,0.539,1.500,1,0.001,0.045,0.954,1.954,1,0.013,0.212,0.775,1.762,1,0.000,0.03,0.966,1.965,1
S292,2,2,1,63,12,51,0,0.01429398148,0.000,0.000,1.000,2.000,1,0.000,0.004,0.996,1.996,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.017,0.98,1.983,1,0.03,0.74,0,1.20,2,0.002,0.055,0.943,1.94,1,0.000,0.023,0.977,1.977,1,0.008,0.228,0.764,1.756,1,0.008,0.153,0.839,1.831,1,0.008,0.180,0.812,1.804,1,0.002,0.08,0.917,1.915,1
S293,3,1,1,63,9,54,0,0.01619212963,0.000,0.001,0.999,1.999,1,0.000,0.002,0.998,1.998,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.003,1.00,1.997,1,0.01,0.58,0,1.40,2,0.002,0.054,0.944,1.94,1,0.000,0.020,0.980,1.980,1,0.001,0.102,0.897,1.896,1,0.000,0.031,0.969,1.969,1,0.008,0.179,0.813,1.805,1,0.000,0.03,0.975,1.975,1
S294,1,2,2,63,14,49,0,0.01512731481,0.000,0.012,0.988,1.988,1,0.000,0.004,0.996,1.996,1,0.02,0.403,1,1.55,1,0.099,0.228,0.673,1.574,1,0.000,0.010,0.990,1.990,1,0.000,0.007,0.99,1.993,1,0.07,0.80,0,1.07,2,0.003,0.072,0.925,1.92,1,0.000,0.010,0.990,1.990,1,0.008,0.228,0.764,1.756,1,0.002,0.085,0.913,1.911,1,0.015,0.228,0.758,1.743,1,0.000,0.04,0.962,1.962,1
S295,2,2,1,63,16,46,0,0.01819444444,0.000,0.007,0.993,1.993,1,0.001,0.017,0.982,1.982,1,0.02,0.403,1,1.56,1,0.098,0.228,0.674,1.576,1,0.000,0.010,0.990,1.990,1,0.000,0.007,0.99,1.993,1,0.08,0.78,0,1.06,2,0.008,0.097,0.895,1.89,1,0.000,0.017,0.983,1.982,1,0.143,0.578,0.279,1.137,2,0.127,0.447,0.426,1.298,2,0.029,0.289,0.683,1.654,1,0.000,0.02,0.982,1.982,1
S296,3,1,1,63,24,39,0,0.01532407407,0.000,0.102,0.898,1.897,1,0.000,0.003,0.997,1.997,1,0.71,0.282,0,0.30,3,0.110,0.236,0.655,1.545,1,0.069,0.329,0.602,1.533,1,0.001,0.044,0.96,1.955,1,0.32,0.65,0,0.70,2,0.001,0.045,0.953,1.95,1,0.000,0.028,0.972,1.971,1,0.001,0.102,0.897,1.896,1,0.046,0.328,0.626,1.580,1,0.003,0.103,0.894,1.891,1,0.000,0.03,0.966,1.966,1
S297,1,2,2,63,17,46,0,0.01635416667,0.000,0.004,0.996,1.996,1,0.002,0.023,0.976,1.974,1,0.02,0.402,1,1.56,1,0.098,0.227,0.675,1.577,1,0.000,0.010,0.990,1.990,1,0.003,0.080,0.92,1.913,1,0.07,0.78,0,1.09,2,0.032,0.224,0.745,1.71,1,0.024,0.185,0.792,1.768,1,0.011,0.234,0.755,1.745,1,0.033,0.282,0.685,1.652,1,0.145,0.488,0.367,1.223,2,0.000,0.03,0.966,1.966,1
S298,2,2,1,63,19,21,23,0.00000036169,0.078,0.842,0.080,1.003,2,0.004,0.035,0.961,1.957,1,0.94,0.061,0,0.07,3,0.216,0.304,0.479,1.263,1,0.541,0.386,0.072,0.531,3,0.001,0.017,0.98,1.982,1,0.92,0.08,0,0.09,3,0.022,0.200,0.778,1.76,1,0.052,0.337,0.611,1.559,1,0.202,0.428,0.369,1.167,2,0.028,0.258,0.715,1.687,1,0.023,0.190,0.787,1.763,1,0.008,0.15,0.846,1.838,1
S299,3,1,1,63,18,39,6,0.00000036169,0.000,0.012,0.988,1.988,1,0.000,0.007,0.993,1.992,1,0.08,0.596,0,1.25,2,0.099,0.228,0.673,1.574,1,0.009,0.154,0.837,1.827,1,0.002,0.056,0.94,1.940,1,0.06,0.76,0,1.12,2,0.001,0.032,0.967,1.97,1,0.000,0.005,0.995,1.995,1,0.039,0.422,0.538,1.499,1,0.000,0.038,0.962,1.961,1,0.002,0.089,0.909,1.907,1,0.010,0.13,0.864,1.854,1
S300,1,2,2,63,11,52,0,0.01937500000,0.000,0.000,1.000,2.000,1,0.000,0.002,0.998,1.998,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.008,0.99,1.992,1,0.03,0.68,0,1.26,2,0.001,0.038,0.961,1.96,1,0.000,0.011,0.989,1.989,1,0.001,0.101,0.897,1.896,1,0.171,0.463,0.366,1.195,2,0.004,0.123,0.873,1.869,1,0.000,0.04,0.956,1.956,1
S301,2,2,1,63,14,47,0,0.02175925926,0.000,0.005,0.995,1.995,1,0.000,0.003,0.996,1.996,1,0.02,0.402,1,1.56,1,0.098,0.228,0.675,1.577,1,0.000,0.010,0.990,1.990,1,0.001,0.047,0.95,1.950,1,0.05,0.75,0,1.16,2,0.002,0.054,0.945,1.94,1,0.000,0.020,0.980,1.980,1,0.001,0.102,0.897,1.895,1,0.040,0.301,0.659,1.618,1,0.008,0.174,0.819,1.811,1,0.010,0.19,0.802,1.792,1
S302,3,1,1,63,28,35,0,0.01851851852,0.039,0.740,0.221,1.183,2,0.001,0.024,0.975,1.974,1,0.71,0.256,0,0.33,3,0.196,0.292,0.513,1.317,1,0.005,0.126,0.869,1.864,1,0.000,0.003,1.00,1.997,1,0.84,0.16,0,0.16,3,0.003,0.101,0.896,1.89,1,0.012,0.174,0.814,1.802,1,0.351,0.548,0.101,0.750,2,0.905,0.092,0.002,0.097,3,0.002,0.059,0.939,1.937,1,0.027,0.29,0.684,1.657,1
S303,1,2,2,63,14,31,16,0.00000036169,0.000,0.015,0.985,1.985,1,0.001,0.010,0.989,1.989,1,0.02,0.403,1,1.55,1,0.099,0.228,0.672,1.573,1,0.001,0.034,0.966,1.965,1,0.001,0.017,0.98,1.981,1,0.17,0.76,0,0.91,2,0.001,0.032,0.967,1.97,1,0.003,0.068,0.929,1.926,1,0.187,0.434,0.379,1.192,2,0.202,0.486,0.312,1.110,2,0.002,0.082,0.916,1.913,1,0.001,0.05,0.953,1.952,1
S304,2,2,1,63,12,18,33,0.00000036169,0.041,0.770,0.189,1.148,2,0.004,0.029,0.968,1.964,1,0.89,0.099,0,0.12,3,0.200,0.295,0.506,1.306,1,0.017,0.180,0.803,1.786,1,0.003,0.032,0.97,1.962,1,0.86,0.14,0,0.15,3,0.011,0.146,0.843,1.83,1,0.017,0.204,0.779,1.762,1,0.199,0.429,0.372,1.173,2,0.325,0.470,0.205,0.880,2,0.010,0.131,0.860,1.850,1,0.060,0.33,0.608,1.549,1
S305,3,1,1,63,37,19,7,0.00000036169,0.962,0.038,0.000,0.038,3,0.018,0.163,0.819,1.802,1,1.00,0.000,0,0.00,3,0.305,0.335,0.360,1.055,1,0.835,0.159,0.006,0.171,3,0.000,0.007,0.99,1.993,1,1.00,0.00,0,0.00,3,0.120,0.413,0.467,1.35,1,0.121,0.483,0.397,1.276,2,0.656,0.322,0.022,0.365,3,0.409,0.460,0.131,0.722,2,0.081,0.308,0.611,1.531,1,0.827,0.15,0.020,0.193,3
S306,1,2,2,63,15,29,19,0.00000036169,0.000,0.130,0.870,1.869,1,0.001,0.010,0.989,1.989,1,0.50,0.464,0,0.54,3,0.113,0.238,0.649,1.536,1,0.002,0.050,0.948,1.947,1,0.001,0.017,0.98,1.981,1,0.15,0.76,0,0.94,2,0.001,0.034,0.965,1.96,1,0.000,0.019,0.980,1.980,1,0.188,0.434,0.379,1.191,2,0.016,0.210,0.774,1.759,1,0.001,0.050,0.949,1.948,1,0.000,0.02,0.976,1.976,1
S307,2,2,1,63,12,49,0,0.01797453704,0.000,0.000,1.000,2.000,1,0.000,0.002,0.998,1.998,1,0.07,0.599,0,1.26,2,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.009,0.99,1.990,1,0.03,0.75,0,1.19,2,0.000,0.029,0.971,1.97,1,0.003,0.072,0.925,1.922,1,0.008,0.227,0.765,1.757,1,0.001,0.067,0.932,1.930,1,0.002,0.086,0.913,1.911,1,0.002,0.08,0.916,1.915,1
S308,3,1,1,63,10,53,0,0.01442129630,0.000,0.000,1.000,2.000,1,0.000,0.003,0.996,1.996,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.045,0.304,0.651,1.606,1,0.000,0.003,1.00,1.997,1,0.00,0.04,1,1.96,1,0.000,0.021,0.979,1.98,1,0.000,0.004,0.996,1.996,1,0.038,0.422,0.540,1.502,1,0.001,0.077,0.922,1.920,1,0.001,0.052,0.948,1.947,1,0.000,0.04,0.962,1.962,1
S315,1,2,2,63,18,45,0,0.02694444444,0.000,0.005,0.995,1.995,1,0.000,0.005,0.995,1.995,1,0.08,0.598,0,1.25,2,0.098,0.228,0.674,1.576,1,0.000,0.026,0.974,1.974,1,0.000,0.008,0.99,1.992,1,0.30,0.68,0,0.72,2,0.001,0.042,0.957,1.96,1,0.002,0.056,0.943,1.941,1,0.039,0.422,0.539,1.501,1,0.003,0.103,0.893,1.890,1,0.004,0.130,0.865,1.861,1,0.000,0.04,0.962,1.962,1
S316,2,2,1,63,11,9,43,0.00000036169,0.147,0.751,0.102,0.955,2,0.013,0.062,0.925,1.912,1,0.93,0.066,0,0.08,3,0.220,0.304,0.476,1.256,1,0.169,0.319,0.512,1.344,1,0.005,0.032,0.96,1.958,1,0.97,0.03,0,0.03,3,0.068,0.252,0.680,1.61,1,0.257,0.416,0.326,1.069,2,0.223,0.420,0.357,1.134,2,0.479,0.407,0.115,0.636,3,0.081,0.248,0.671,1.590,1,0.104,0.39,0.509,1.405,1
S317,3,1,1,63,18,45,0,0.01603009259,0.000,0.014,0.986,1.986,1,0.000,0.002,0.998,1.998,1,0.44,0.517,0,0.60,2,0.099,0.228,0.673,1.574,1,0.000,0.010,0.990,1.990,1,0.000,0.017,0.98,1.982,1,0.10,0.78,0,1.02,2,0.000,0.022,0.978,1.98,1,0.000,0.006,0.994,1.994,1,0.008,0.227,0.765,1.757,1,0.121,0.444,0.435,1.313,2,0.001,0.052,0.948,1.947,1,0.002,0.10,0.903,1.901,1
S318,1,2,2,63,16,47,0,0.01633101852,0.000,0.002,0.998,1.998,1,0.000,0.004,0.996,1.996,1,0.21,0.655,0,0.93,2,0.098,0.227,0.675,1.577,1,0.001,0.064,0.935,1.934,1,0.003,0.084,0.91,1.909,1,0.00,0.44,1,1.55,1,0.001,0.048,0.951,1.95,1,0.000,0.030,0.970,1.969,1,0.001,0.102,0.897,1.895,1,0.003,0.091,0.906,1.904,1,0.006,0.153,0.841,1.834,1,0.010,0.20,0.794,1.783,1
S319,2,2,1,63,18,45,0,0.02395833333,0.000,0.001,0.999,1.999,1,0.013,0.053,0.934,1.922,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.025,0.975,1.975,1,0.012,0.118,0.87,1.859,1,0.01,0.50,0,1.49,2,0.017,0.105,0.878,1.86,1,0.002,0.064,0.934,1.931,1,0.371,0.532,0.097,0.726,2,0.006,0.135,0.858,1.852,1,0.034,0.266,0.700,1.666,1,0.004,0.13,0.867,1.863,1
S320,3,1,1,63,21,32,10,0.00000036169,0.010,0.237,0.753,1.743,1,0.001,0.019,0.980,1.979,1,0.22,0.524,0,1.03,2,0.128,0.248,0.624,1.496,1,0.008,0.124,0.868,1.860,1,0.000,0.004,1.00,1.996,1,0.35,0.59,0,0.71,2,0.004,0.064,0.932,1.93,1,0.115,0.316,0.569,1.455,1,0.349,0.550,0.101,0.752,2,0.199,0.475,0.327,1.128,2,0.005,0.093,0.903,1.898,1,0.108,0.26,0.634,1.527,1
S323,1,2,2,63,40,22,1,0.02587962963,0.966,0.034,0.000,0.034,3,0.090,0.341,0.569,1.479,1,1.00,0.001,0,0.00,3,0.305,0.335,0.360,1.054,1,0.836,0.158,0.006,0.170,3,0.005,0.110,0.89,1.880,1,1.00,0.00,0,0.00,3,0.428,0.406,0.167,0.74,3,0.675,0.298,0.028,0.353,3,0.738,0.246,0.015,0.277,3,0.612,0.341,0.047,0.435,3,0.398,0.405,0.196,0.798,2,0.373,0.49,0.135,0.762,2
S324,2,2,1,63,17,46,0,0.02159722222,0.000,0.001,0.999,1.999,1,0.000,0.004,0.996,1.996,1,0.44,0.523,0,0.61,2,0.098,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.015,0.99,1.985,1,0.25,0.71,0,0.78,2,0.002,0.059,0.939,1.94,1,0.003,0.079,0.917,1.914,1,0.008,0.228,0.764,1.756,1,0.020,0.238,0.741,1.721,1,0.010,0.194,0.796,1.786,1,0.000,0.03,0.971,1.971,1
S325,3,1,1,63,42,21,0,0.02337962963,0.992,0.008,0.000,0.008,3,0.001,0.071,0.928,1.927,1,1.00,0.000,0,0.00,3,0.308,0.336,0.356,1.049,1,0.844,0.151,0.005,0.161,3,0.000,0.013,0.99,1.987,1,1.00,0.00,0,0.00,3,0.434,0.471,0.095,0.66,2,0.485,0.441,0.074,0.589,3,0.003,0.119,0.878,1.874,1,0.897,0.100,0.003,0.106,3,0.544,0.372,0.084,0.539,3,0.270,0.52,0.206,0.936,2
S326,1,2,2,63,11,13,39,0.00000036169,0.042,0.692,0.266,1.224,2,0.029,0.092,0.879,1.850,1,0.88,0.113,0,0.13,3,0.190,0.288,0.521,1.331,1,0.055,0.236,0.710,1.655,1,0.015,0.061,0.92,1.909,1,0.92,0.08,0,0.08,3,0.117,0.300,0.583,1.47,1,0.035,0.255,0.710,1.675,1,0.250,0.409,0.341,1.091,2,0.122,0.331,0.547,1.426,1,0.173,0.343,0.484,1.310,1,0.136,0.44,0.426,1.290,2
S327,2,2,1,63,11,45,7,0.00000036169,0.000,0.000,1.000,2.000,1,0.002,0.018,0.980,1.978,1,0.07,0.600,0,1.26,2,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.006,0.056,0.94,1.933,1,0.03,0.74,0,1.20,2,0.015,0.142,0.842,1.83,1,0.001,0.036,0.963,1.963,1,0.030,0.346,0.624,1.593,1,0.008,0.152,0.839,1.831,1,0.063,0.391,0.547,1.484,1,0.000,0.04,0.960,1.960,1
S328,3,1,1,63,34,29,0,0.02312500000,0.145,0.819,0.036,0.890,2,0.022,0.150,0.829,1.807,1,0.99,0.013,0,0.01,3,0.228,0.310,0.462,1.235,1,0.328,0.499,0.172,0.844,2,0.000,0.024,0.98,1.975,1,0.93,0.08,0,0.08,3,0.120,0.333,0.547,1.43,1,0.002,0.076,0.923,1.921,1,0.654,0.324,0.022,0.368,3,0.707,0.271,0.022,0.315,3,0.134,0.351,0.515,1.382,1,0.000,0.04,0.963,1.963,1
S329,1,2,2,63,20,43,0,0.02225694444,0.000,0.007,0.993,1.993,1,0.003,0.030,0.967,1.965,1,0.44,0.521,0,0.60,2,0.098,0.228,0.674,1.576,1,0.009,0.152,0.839,1.830,1,0.000,0.014,0.99,1.985,1,0.01,0.56,0,1.42,2,0.024,0.168,0.808,1.78,1,0.009,0.119,0.872,1.863,1,0.150,0.575,0.276,1.126,2,0.029,0.262,0.708,1.679,1,0.088,0.420,0.493,1.405,1,0.007,0.17,0.823,1.816,1
S330,2,2,1,63,29,34,0,0.02697916667,0.005,0.241,0.754,1.750,1,0.002,0.021,0.977,1.975,1,0.11,0.418,0,1.36,1,0.128,0.247,0.625,1.497,1,0.007,0.122,0.871,1.863,1,0.001,0.043,0.96,1.955,1,0.87,0.13,0,0.13,3,0.008,0.091,0.901,1.89,1,0.006,0.097,0.897,1.891,1,0.145,0.577,0.278,1.133,2,0.510,0.408,0.082,0.573,3,0.012,0.160,0.828,1.817,1,0.039,0.30,0.657,1.617,1
S331,3,1,1,63,13,50,0,0.01839120370,0.000,0.001,0.999,1.999,1,0.000,0.002,0.998,1.998,1,0.21,0.656,0,0.93,2,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.016,0.98,1.983,1,0.02,0.66,0,1.30,2,0.000,0.029,0.970,1.97,1,0.001,0.035,0.965,1.964,1,0.001,0.101,0.897,1.896,1,0.001,0.045,0.954,1.953,1,0.002,0.087,0.911,1.910,1,0.061,0.39,0.548,1.487,1
S332,1,2,2,63,28,35,0,0.02307870370,0.041,0.602,0.357,1.316,2,0.002,0.021,0.977,1.976,1,0.28,0.431,0,1.01,2,0.179,0.281,0.540,1.361,1,0.001,0.048,0.951,1.950,1,0.001,0.037,0.96,1.962,1,0.98,0.02,0,0.02,3,0.020,0.185,0.795,1.78,1,0.048,0.290,0.661,1.613,1,0.044,0.424,0.532,1.488,1,0.099,0.435,0.466,1.367,1,0.029,0.231,0.740,1.711,1,0.393,0.46,0.148,0.755,2
S333,2,2,1,63,37,22,4,0.00000036169,0.463,0.534,0.003,0.541,2,0.029,0.170,0.800,1.771,1,1.00,0.002,0,0.00,3,0.260,0.321,0.419,1.159,1,0.005,0.128,0.867,1.863,1,0.001,0.044,0.96,1.954,1,1.00,0.00,0,0.00,3,0.142,0.359,0.500,1.36,1,0.349,0.470,0.181,0.832,2,0.663,0.316,0.021,0.358,3,0.843,0.150,0.007,0.164,3,0.125,0.341,0.534,1.408,1,0.417,0.46,0.125,0.708,2
S334,3,1,1,63,26,37,0,0.03093750000,0.000,0.048,0.952,1.952,1,0.000,0.009,0.991,1.990,1,0.69,0.297,0,0.32,3,0.103,0.231,0.666,1.563,1,0.013,0.166,0.822,1.809,1,0.001,0.039,0.96,1.959,1,0.41,0.57,0,0.61,2,0.003,0.064,0.933,1.93,1,0.011,0.128,0.861,1.850,1,0.040,0.423,0.538,1.498,1,0.141,0.448,0.411,1.271,2,0.010,0.179,0.811,1.801,1,0.000,0.03,0.973,1.973,1
S335,1,2,2,63,34,28,1,0.00000036169,0.375,0.619,0.006,0.631,2,0.148,0.307,0.545,1.397,1,0.99,0.012,0,0.01,3,0.252,0.319,0.430,1.178,1,0.020,0.236,0.745,1.725,1,0.041,0.250,0.71,1.667,1,0.97,0.04,0,0.04,3,0.454,0.369,0.177,0.72,3,0.208,0.478,0.314,1.106,2,0.567,0.374,0.059,0.492,3,0.269,0.497,0.234,0.965,2,0.529,0.339,0.132,0.603,3,0.004,0.13,0.871,1.866,1
S336,2,2,1,63,8,55,0,0.00968750000,0.000,0.000,1.000,2.000,1,0.000,0.003,0.997,1.997,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.008,0.99,1.992,1,0.00,0.11,1,1.89,1,0.001,0.035,0.965,1.96,1,0.000,0.007,0.993,1.993,1,0.008,0.227,0.765,1.757,1,0.000,0.027,0.972,1.972,1,0.003,0.108,0.889,1.886,1,0.000,0.04,0.964,1.964,1
S337,3,1,1,63,11,52,0,0.01428240741,0.000,0.000,1.000,2.000,1,0.000,0.006,0.994,1.994,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.025,0.975,1.975,1,0.000,0.003,1.00,1.997,1,0.00,0.44,1,1.55,1,0.002,0.058,0.939,1.94,1,0.001,0.049,0.950,1.948,1,0.039,0.422,0.539,1.500,1,0.001,0.059,0.940,1.939,1,0.010,0.189,0.802,1.792,1,0.000,0.03,0.972,1.972,1
S338,1,2,2,63,19,39,0,0.02151620370,0.000,0.022,0.978,1.978,1,0.001,0.015,0.984,1.984,1,0.03,0.404,1,1.54,1,0.100,0.229,0.671,1.571,1,0.002,0.068,0.930,1.928,1,0.000,0.009,0.99,1.990,1,0.41,0.57,0,0.60,2,0.006,0.082,0.912,1.91,1,0.003,0.077,0.919,1.916,1,0.142,0.578,0.280,1.138,2,0.016,0.209,0.775,1.760,1,0.019,0.240,0.740,1.721,1,0.000,0.01,0.987,1.987,1
